From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2017-12-06,105.44958333333334,247.68041666666667,12.860416666666666,33.66458333333333,20.547083333333333,,12.001666666666667,1.0154166666666666,30.09166666666667,0.0,0.0,,,,23.17125,46.150416666666665,0.7258333333333334,85.2925,53.9725,752.725,0.7479166666666667
2017-12-07,103.27833333333332,257.7908333333333,11.585416666666667,36.330000000000005,21.19125,,11.844999999999999,0.9008333333333334,29.606666666666666,0.0,0.0,,,,23.14833333333333,43.07583333333333,0.75375,82.96625,80.08916666666667,751.9825000000001,0.7641666666666667
2017-12-08,95.54416666666667,236.01541666666665,11.406666666666666,33.76166666666666,21.298750000000002,,12.871666666666668,0.8116666666666666,29.229583333333334,0.0,0.0,,,,24.15041666666667,34.358333333333334,0.78375,81.07958333333333,86.31291666666665,752.1437500000001,0.7954166666666667
2017-12-09,87.78708333333333,226.57708333333335,12.667916666666665,29.265833333333333,20.938333333333333,,13.582916666666668,0.8804166666666666,31.64916666666667,0.0,0.0,,,,25.9275,38.29958333333334,0.7191666666666667,98.70708333333333,82.37458333333333,753.7604166666666,0.84875
2017-12-10,88.82944444444445,250.24833333333333,16.09777777777778,30.403333333333332,24.432222222222222,,14.143333333333333,0.825,33.655,0.0,0.0,,,,25.566666666666666,45.02666666666667,0.6733333333333333,80.88555555555556,37.20722222222222,754.0188888888889,0.8166666666666667
2017-12-11,88.05333333333333,218.60761904761907,12.086666666666666,21.743333333333332,16.333333333333332,,12.716190476190476,0.6152380952380953,43.19571428571429,0.0,0.0,,,,23.298095238095236,47.920476190476194,1.2795238095238095,191.4795238095238,93.65095238095239,754.2719047619047,0.7847619047619048
2017-12-12,92.12461538461538,212.33692307692309,13.863846153846152,23.27076923076923,18.876153846153848,,11.81076923076923,0.8292307692307692,59.95,0.0,0.0,,,,19.302307692307693,58.681538461538466,0.3923076923076923,163.9123076923077,94.90615384615384,751.0769230769231,0.6553846153846153
2017-12-13,,,,,,,,,,,,,,,,,,,,,
2017-12-14,,,,,,,,,,,,,,,,,,,,,
2017-12-15,,,,,,,,,,,,,,,,,,,,,
2017-12-16,,,,,,,,,,,,,,,,,,,,,
2017-12-17,,,,,,,,,,,,,,,,,,,,,
2017-12-18,,,,,,,,,,,,,,,,,,,,,
2017-12-19,,,,,,,,,,,,,,,,,,,,,
2017-12-20,108.07555555555555,297.0655555555556,37.75222222222223,40.72,48.215555555555554,,9.58,1.2355555555555555,25.16,0.0,0.042222222222222223,,,,26.474444444444444,33.605555555555554,0.6444444444444444,164.36888888888888,36.32555555555555,749.0788888888889,0.8144444444444444
2017-12-21,85.35333333333334,216.96708333333333,8.854166666666666,35.19375,22.037916666666664,,10.504583333333334,0.8770833333333333,26.866666666666664,0.0,0.014583333333333332,,1.3800000000000001,0.69,25.53708333333333,35.595,0.7945833333333333,93.375,83.78541666666666,748.6862500000001,0.8454166666666666
2017-12-22,93.651,225.775,33.631875,29.84125,40.83,,10.285,1.0795,30.0505,0.0,0.10049999999999999,,0.81,,23.212,38.748000000000005,0.5780000000000001,82.1185,91.515,749.286,0.8699999999999999
2017-12-23,114.59045454545453,301.2859090909091,58.36000000000001,28.716363636363635,59.029090909090904,,10.39409090909091,1.2027272727272729,30.651818181818182,0.0,0.2468181818181818,,1.17,,18.345909090909092,38.68181818181818,0.38272727272727275,116.64772727272727,70.72090909090909,751.3727272727273,1.247272727272727
2017-12-24,128.47916666666666,340.15500000000003,78.15333333333334,33.235,76.93666666666667,,6.585454545454545,1.3916666666666666,28.805833333333336,0.0,0.24416666666666664,,0.354,,19.834166666666665,38.485,0.16636363636363638,157.00727272727272,56.318333333333335,750.663,1.3066666666666666
2017-12-25,95.33708333333334,262.26208333333335,31.3425,29.56375,36.967083333333335,,7.6866666666666665,0.8458333333333333,27.47,0.0,0.015833333333333335,,0.62,,24.105416666666667,34.498333333333335,0.4345833333333333,148.15125,85.74666666666667,750.2916666666666,1.2741666666666667
2017-12-26,93.55708333333332,237.14791666666667,16.269166666666667,30.854583333333334,25.420416666666668,,8.86,0.9916666666666667,31.677083333333332,0.0,0.0,,0.14,,23.829166666666666,34.16375,0.45125,106.49458333333332,86.09291666666667,750.3708333333334,0.8470833333333333
2017-12-27,128.67625,322.34208333333333,47.80291666666667,31.831666666666667,51.132083333333334,,7.1312500000000005,1.1191666666666666,32.568333333333335,0.0,0.1825,,,,23.19875,36.98291666666667,0.25458333333333333,122.9775,85.84041666666667,751.2104166666667,1.0791666666666666
2017-12-28,95.81333333333333,301.4475,62.69368421052632,36.479473684210525,78.22157894736843,,7.16375,1.0083333333333333,29.934166666666666,0.0,0.12708333333333333,,,,21.584999999999997,37.17125,0.35958333333333337,103.46499999999999,80.32833333333333,751.8854166666666,0.6375000000000001
