From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3)
2019-12-18,149.14583333333334,177.29875,38.206250000000004,41.0775,52.911249999999995,10.525,2.4,0.7858333333333333,23.921666666666667,0.93
2019-12-19,244.11083333333332,317.97541666666666,64.50875,53.831250000000004,81.08,14.00625,4.066666666666666,1.4816666666666667,7.84375,1.2379166666666668
2019-12-20,305.0175,373.5208333333333,47.401250000000005,50.296666666666674,65.2925,12.645000000000001,3.55875,0.9742857142857143,13.391666666666666,1.4179166666666667
2019-12-21,258.26375,299.50333333333333,39.757083333333334,44.11916666666667,55.78791666666667,11.940833333333332,3.3158333333333334,,10.48,1.3929166666666666
2019-12-22,170.19791666666666,198.90291666666667,29.833333333333332,34.549166666666665,42.630833333333335,9.852083333333333,2.18125,,12.654166666666667,0.4658333333333333
2019-12-23,198.2325,232.93041666666667,33.78333333333334,34.205,45.66083333333333,12.505833333333333,2.4475000000000002,,13.36625,0.7475
2019-12-24,261.92739130434785,330.59043478260867,38.15416666666667,40.668749999999996,52.653333333333336,12.85125,3.752173913043478,1.9746153846153844,10.90625,0.9987499999999999
2019-12-25,151.51375,204.15625,27.23625,32.01708333333333,39.172916666666666,8.716666666666667,2.671578947368421,0.8904166666666667,11.512500000000001,0.49625
2019-12-26,189.14916666666667,247.05916666666667,27.1075,34.29083333333333,40.27833333333333,8.643333333333333,2.4466666666666668,1.0141666666666667,15.137083333333335,0.49499999999999994
2019-12-27,234.58333333333334,304.9791666666667,32.791666666666664,39.884166666666665,47.875416666666666,9.531666666666666,3.09375,1.26625,12.784583333333332,0.6666666666666666
2019-12-28,272.01375,373.36791666666664,56.84458333333333,45.6475,70.49458333333334,12.657083333333333,5.8183333333333325,2.1279166666666667,9.780416666666666,1.1395833333333334
2019-12-29,321.22583333333336,435.76375,39.45125,46.80583333333333,56.970416666666665,10.987083333333333,8.419166666666667,2.02375,13.736666666666666,0.9058333333333333
2019-12-30,302.875,396.62166666666667,57.602916666666665,44.79291666666666,70.65875,13.561666666666667,7.585833333333333,2.432916666666667,6.596666666666667,1.3779166666666667
2019-12-31,229.61458333333334,269.6075,74.50833333333334,48.56,86.40416666666668,14.897083333333335,6.163333333333334,2.8708333333333336,10.924166666666666,1.9324999999999999
2020-01-01,400.6145833333333,459.52791666666667,85.78333333333335,44.056666666666665,93.17708333333333,27.674583333333334,11.46,4.3225,10.274583333333334,4.292916666666667
2020-01-02,454.092,492.3795,90.47625,50.55583333333333,100.44791666666667,33.99708333333333,12.044782608695652,4.46304347826087,11.439565217391305,5.4482608695652175
2020-01-03,199.47208333333333,220.52416666666667,94.41624999999999,64.67708333333333,111.16000000000001,20.030833333333334,7.208333333333333,3.1929166666666666,10.703333333333333,3.79875
2020-01-04,224.4375,256.1770833333333,82.93041666666666,65.79458333333334,102.42125,18.422916666666666,5.875,2.920833333333333,16.010833333333334,2.7754166666666666
2020-01-05,149.40625,172.64916666666667,37.13875,45.15208333333334,54.21291666666667,10.167083333333332,5.384166666666666,1.32,20.32875,0.6408333333333333
