From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),Xylene (ug/m3),RF (mm)
2012-02-16,,,3.0257894736842106,106.69421052631579,110.24368421052633,60.13157894736842,0.9542105263157894,51.19631578947369,0.0,0.0,,,,23.044736842105266,7.487368421052631,10.215263157894737,32.35736842105263,944.3221052631578,0.5,20.709473684210526,0.0,
2012-02-17,,,1.5521739130434784,82.75458333333333,84.73708333333333,52.98041666666666,0.71125,73.40708333333333,0.0,0.0,,,,24.25125,7.947500000000001,13.270833333333334,59.42958333333333,947.94375,0.5,22.645416666666666,0.0,
2012-02-18,,,6.397083333333334,86.30125,93.19625,72.12136363636364,1.1495833333333334,66.32625,0.0,0.0,,,,22.65875,7.9745833333333325,13.245833333333335,61.662083333333335,951.4475000000001,0.5,23.735416666666666,0.0,
2012-02-19,,,6.175,82.04458333333334,88.24916666666667,63.5325,1.3066666666666666,66.7075,0.0,0.0,,,,21.067083333333333,8.132083333333332,13.497916666666667,61.095,949.3129166666666,0.5,26.023750000000003,0.0,
2012-02-20,,,74.01826086956522,131.05041666666668,189.55347826086958,41.962272727272726,2.1645833333333333,44.37695652173913,0.0,0.0,,,,23.137916666666666,8.169166666666667,12.940833333333332,58.699999999999996,941.0233333333334,0.5,26.83,0.0,
2012-02-21,,,72.62857142857143,124.03142857142856,181.0155,58.42052631578947,2.972857142857143,32.58,0.0,0.0,,,,22.33809523809524,8.246190476190478,14.63952380952381,65.75238095238095,935.2228571428572,0.5,25.99904761904762,0.0,
2012-02-22,,,34.34375,103.41125,121.42391304347827,38.99,1.5516666666666667,28.41,0.0,0.0,,,,30.897499999999997,8.229166666666666,13.882916666666667,64.89833333333333,934.1241666666666,0.5,26.444166666666664,0.0,
2012-02-23,,,2.037391304347826,88.32166666666666,90.7975,35.27363636363636,1.5199999999999998,58.79458333333333,0.0,0.0,,,,20.760416666666668,8.108333333333333,13.0025,61.5725,936.9979166666667,0.5,26.118750000000002,0.0,
2012-02-24,,,2.2800000000000002,85.605,88.39937499999999,59.28,0.803125,56.06125,0.0,0.0,,,,15.218125,8.079375,17.253125,91.461875,940.144375,0.5,23.319375,0.0,
2012-02-25,,,0.5783333333333334,90.21571428571428,91.27285714285715,39.78285714285715,2.9642857142857144,53.47571428571428,0.0,0.0,,,,13.804285714285713,7.572857142857143,7.258571428571429,9.971428571428572,932.4214285714286,0.5,25.944285714285716,0.0,
2012-02-26,,,5.069583333333333,85.97791666666666,91.55624999999999,49.62583333333333,1.8295833333333336,67.81166666666667,0.0,0.0,,,,19.889583333333334,8.050833333333333,14.325416666666667,67.58,932.0883333333333,0.5,24.92375,0.0,
2012-02-27,,,7.577083333333333,99.02291666666667,107.10374999999999,70.26333333333334,2.1108333333333333,54.711666666666666,0.0,0.0,,,,18.925833333333333,8.106250000000001,13.229583333333332,62.25541666666667,927.3083333333334,0.5,26.79041666666667,0.0,
2012-02-28,,,3.5033333333333334,87.4609090909091,90.86727272727272,36.301818181818184,0.8281818181818181,43.21454545454546,0.0,0.0,,,,18.634545454545457,7.712727272727273,11.34,43.91363636363636,924.2672727272728,0.5,22.59272727272727,0.0,
2012-02-29,,,,,,,,,,,,,,,,,,,,,,
2012-03-01,,,6.718571428571428,82.26571428571428,89.51571428571428,38.336666666666666,2.7157142857142853,43.81428571428571,0.0,0.0,,,,27.05,7.671428571428572,6.4957142857142856,10.747142857142856,922.01,0.5,25.852857142857143,0.0,
2012-03-02,,,8.94875,69.98458333333333,79.42291666666667,53.79277777777778,1.8475000000000001,43.48666666666667,0.0,0.0,,,,35.37916666666667,8.213333333333333,13.700000000000001,68.23541666666667,923.6504166666667,0.5,25.317916666666665,0.0,
2012-03-03,,,5.864999999999999,71.48708333333333,77.85458333333334,67.55764705882353,1.7033333333333334,47.23,0.0,0.0,,,,29.192083333333333,8.18625,13.479166666666666,63.63791666666666,924.3720833333333,0.5,26.920416666666668,0.0,
2012-03-04,,,5.158333333333333,67.94500000000001,73.61,56.885625,1.6145833333333333,38.82416666666666,0.0,0.0,,,,28.199583333333333,8.331249999999999,13.676249999999998,66.15791666666667,929.0454166666667,0.5,28.201666666666668,0.0,
2012-03-05,,,7.778095238095238,60.93208333333334,68.22375,58.00904761904762,1.5345833333333332,41.185833333333335,0.0,0.0,,,,25.030833333333334,8.305416666666668,14.040416666666665,68.48875,926.9820833333333,0.5,28.061666666666667,0.0,
2012-03-06,,,1.023076923076923,66.26777777777778,67.45444444444445,54.17277777777778,1.2383333333333333,44.98388888888889,0.0,0.0,,,,32.19555555555556,7.853333333333333,5.3438888888888885,26.90888888888889,924.4627777777779,0.5,24.462222222222223,0.0,
2012-03-07,,,1.9686363636363637,62.465833333333336,64.81875000000001,19.1325,1.5308333333333335,51.33166666666667,0.0,0.0,,,,26.28833333333333,8.102916666666667,11.2125,67.21,921.8583333333332,0.5,25.38083333333333,0.0,
2012-03-08,,,10.44,67.3625,76.57833333333333,19.569166666666668,1.6220833333333333,58.58208333333334,0.0,0.0,,,,16.59125,7.970833333333334,12.531666666666666,76.57875,926.5741666666667,0.5,24.145833333333332,0.0,
2012-03-09,,,3.7649999999999997,79.9795,84.217,35.7795,1.254,59.4165,0.0,0.0,,,,8.8805,8.0695,15.086500000000001,95.15,933.4875,0.5,24.2025,0.0,
2012-03-10,,,65.71285714285715,150.90142857142857,217.09142857142857,29.15857142857143,1.782857142857143,27.207142857142856,0.0,0.0,,,,12.40857142857143,7.554285714285714,3.042857142857143,11.025714285714287,925.9485714285714,0.5,25.404285714285713,0.0,
2012-03-11,,,27.971000000000004,78.26708333333333,102.09916666666668,40.295,1.31,67.94916666666667,0.0,0.0,,,,13.360416666666666,8.066666666666666,13.230833333333331,75.3225,925.92625,0.5104166666666666,25.9075,0.0,
2012-03-12,,,0.9231818181818181,62.44708333333333,63.82,24.452916666666667,1.0183333333333333,66.61291666666666,0.0,0.0,,,,16.969583333333333,8.197916666666666,14.434166666666668,74.30875,940.0183333333333,0.5,26.104166666666668,0.0,
2012-03-13,,,2.045,72.21722222222223,74.28944444444444,40.62277777777778,1.2877777777777777,48.94,0.0,0.0,,,,22.671666666666667,7.993888888888888,9.766666666666667,33.59833333333333,955.4611111111111,0.5,24.885555555555555,0.0,
2012-03-14,,,15.067391304347826,76.33375,91.30166666666666,64.53260869565217,1.6170833333333334,63.66583333333333,0.0,0.0,,,,14.301666666666668,8.252083333333333,14.67125,76.70833333333333,954.1466666666666,0.5,26.74,0.0,
2012-03-15,,,5.9363636363636365,117.51454545454546,123.9009090909091,86.14545454545454,1.19,33.053636363636365,0.0,0.0,,,,19.265454545454546,7.962727272727273,10.876363636363637,44.92363636363636,948.1154545454546,0.5,24.19818181818182,0.0,
2012-03-16,,,,,,,,,,,,,,,,,,,,,,
2012-03-17,,,11.277142857142858,70.44285714285715,82.26714285714286,72.452,2.3214285714285716,31.092857142857145,0.0,0.0,,,,10.302857142857144,8.215714285714286,6.547142857142857,13.09142857142857,929.1385714285715,0.5,32.715714285714284,0.0,
2012-03-18,,,32.0635,61.364583333333336,88.6025,36.15,1.3875,46.416666666666664,0.0,0.0,,,,19.087500000000002,8.619583333333333,15.822083333333333,82.54166666666667,936.1504166666667,0.5,30.5275,0.0,
2012-03-19,,,11.948260869565217,69.32125,81.29458333333334,38.825,1.33875,41.63625,0.0,0.0,,,,18.460833333333333,8.672500000000001,16.010833333333334,83.53500000000001,937.1999999999999,0.5,30.828333333333333,0.0,
2012-03-20,,,2.465333333333333,63.30722222222222,65.85444444444445,33.304117647058824,1.2744444444444445,27.724444444444444,0.0,0.0,,,,23.964444444444446,8.102777777777778,8.41,25.453333333333333,935.4605555555556,0.5,27.80611111111111,0.0,
2012-03-21,,,2.023,70.66,72.90583333333333,42.365,1.2695833333333335,53.87958333333333,0.0,0.0,,,,12.940416666666666,8.277916666666668,13.144583333333335,66.06375,936.3975,0.5,28.540833333333335,0.0,
2012-03-22,,,28.576666666666668,99.77388888888889,128.84,63.00833333333334,1.1216666666666666,35.35833333333333,0.0,0.0,,,,12.056111111111111,6.124285714285714,43.12647058823529,33.28722222222222,937.8033333333333,0.6072222222222222,26.691111111111113,0.0,
2012-03-23,,,11.34695652173913,67.93791666666667,79.3075,77.0595652173913,0.05541666666666667,56.73374999999999,0.0,0.0,,,,10.960416666666667,0.71,171.98526315789474,78.85166666666667,939.6379166666667,0.8245833333333333,30.670416666666668,0.0,
2012-03-24,,,43.45,71.41809523809523,109.17904761904762,84.12904761904763,0.0,56.24333333333334,0.0,0.0,,,,11.985714285714286,0.015000000000000001,0.08285714285714285,75.10904761904762,940.4685714285714,0.5,30.153333333333336,0.0,
2012-03-25,,,33.14388888888889,54.268750000000004,79.65958333333333,66.40826086956523,0.0,70.04130434782608,0.0,0.0,,,,9.883750000000001,4.703076923076923,24.465333333333334,81.16833333333334,935.4804166666667,0.5,32.275,0.0,
2012-03-26,,,42.39695652173913,50.48500000000001,91.63666666666666,49.503478260869564,0.0,54.43666666666667,0.0,0.0,,,,17.707916666666666,8.815,55.09958333333333,78.87666666666667,933.5324999999999,0.5,31.668333333333333,0.0,
2012-03-27,,,36.356875,49.4345,78.9365,36.686,0.0,33.3855,0.0,0.0,,,,24.19,7.6955,46.132,50.3185,935.329,0.5,31.363999999999997,0.0,
2012-03-28,,,18.318749999999998,40.4275,59.280833333333334,49.52304347826087,0.0,42.65833333333334,0.0,0.0,,,,18.282083333333333,9.118333333333334,56.66708333333333,77.18708333333333,941.8541666666666,0.5,33.45291666666667,0.0,
2012-03-29,,,5.962307692307693,47.062222222222225,51.92111111111112,50.861666666666665,0.0,50.255,0.0,0.0,,,,16.285,8.268888888888888,50.04666666666667,30.79888888888889,938.1016666666668,0.5,32.312222222222225,0.0,
2012-03-30,,,21.687894736842104,34.78416666666667,52.49333333333333,43.81136363636364,0.0,70.55166666666666,0.0,0.0,,,,17.699583333333333,8.984166666666667,55.625,73.9775,927.0799999999999,0.5,33.71541666666666,0.0,
2012-03-31,,,47.29636363636364,59.45083333333333,103.33,143.71800000000002,0.0,25.2625,0.0,0.0,,,,21.103333333333335,6.460833333333333,37.05083333333334,5.283333333333333,922.6975000000001,0.5,32.68083333333333,0.0,
