From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),AT (degree C),RF (mm)
2020-03-26,23.125,43.625,10.27125,6.537916666666667,27.955,5.8933333333333335,0.4608333333333334,85.38625,0.10000000000000002,1.6133333333333333,0.03,29.491249999999997,60.84375,2.6508333333333334,124.59375,108.78125,28.913749999999997,0.008333333333333333
2020-03-27,15.604166666666666,26.46875,9.280416666666666,5.87625,23.863333333333333,5.347916666666666,0.4975,58.24583333333334,0.10000000000000002,0.9824999999999999,,29.415000000000003,74.44791666666667,2.9112500000000003,86.10416666666667,84.46875,27.05,0.02916666666666667
2020-03-28,21.947916666666668,39.65625,11.564166666666667,7.327083333333333,12.904583333333333,5.592083333333334,0.6291666666666667,56.285714285714285,0.13083333333333333,1.7116666666666667,0.049999999999999996,29.37125,56.989583333333336,1.5604166666666668,125.91666666666667,147.07291666666666,28.95375,0.0
2020-03-29,21.552083333333332,49.104166666666664,10.209999999999999,6.43,11.635,6.1812499999999995,0.5483333333333333,71.87,0.11125,1.3670833333333334,0.03,29.385416666666668,42.96875,2.5254166666666666,79.02083333333333,147.88541666666666,29.803749999999997,0.0
2020-03-30,20.739583333333332,58.788333333333334,10.667083333333332,6.706666666666667,8.505,6.610833333333333,0.44375000000000003,67.9675,0.12041666666666667,2.049166666666667,0.03,29.532083333333333,32.895833333333336,3.2570833333333336,148.76041666666666,146.41666666666666,30.598333333333333,0.0
2020-03-31,23.125,68.09375,10.7025,6.762083333333333,11.672916666666666,6.4975,0.4595833333333333,61.63958333333333,0.12708333333333335,3.28875,0.03,29.614166666666666,30.30541666666667,3.3316666666666666,202.38875,151.9375,30.642083333333332,0.0
2020-04-01,31.635416666666668,85.22916666666667,10.760833333333332,6.76125,10.445416666666667,8.2775,0.5704166666666667,70.42875,0.20458333333333334,5.398333333333333,,29.495416666666667,30.572916666666668,2.512916666666667,256.53125,150.55208333333334,30.23625,0.0
2020-04-02,25.729166666666668,84.125,10.4625,6.5062500000000005,8.811666666666666,7.13625,0.41333333333333333,75.04916666666666,0.12708333333333335,2.408333333333333,,29.61,25.708333333333332,2.5908333333333333,86.09375,152.15625,30.63,0.0
2020-04-03,20.072916666666668,68.94791666666667,10.017083333333334,6.265833333333333,8.534583333333334,6.6125,0.38125000000000003,75.48916666666666,0.09291666666666666,1.1941666666666666,,29.49,22.354166666666668,2.7154166666666666,79.02083333333333,153.22916666666666,30.808333333333334,0.0
2020-04-04,21.395833333333332,69.05208333333333,9.752083333333333,6.190416666666667,10.936250000000001,6.9750000000000005,0.4041666666666666,73.10541666666667,0.11041666666666668,1.37625,0.03,29.480833333333333,20.177083333333332,2.4133333333333336,87.26041666666667,152.375,31.373333333333335,0.0
2020-04-05,44.46590909090909,91.48863636363636,14.089090909090908,8.752727272727272,14.69818181818182,8.574347826086957,0.4126315789473684,62.87173913043478,0.16695652173913045,1.873478260869565,0.16999999999999998,30.249565217391304,20.119565217391305,1.8134782608695652,134.77173913043478,158.5326086956522,31.621304347826086,0.0
2020-04-06,53.78458333333333,104.97916666666667,12.892916666666666,8.674166666666666,21.15791666666667,10.532916666666667,1.2491666666666668,74.58625,0.20166666666666666,1.0129166666666667,0.08222222222222222,30.416666666666668,23.635416666666668,1.7025,199.9375,136.08333333333334,31.589166666666667,0.0
2020-04-07,49.21541666666667,111.65291666666667,10.27,7.042083333333333,13.113750000000001,11.858333333333334,0.9516666666666667,72.43041666666666,0.21208333333333332,4.769166666666667,,30.285,23.75,2.5054166666666666,233.51041666666666,150.44791666666666,31.161666666666665,0.0
2020-04-08,42.62166666666666,102.9825,8.47875,6.05375,9.82375,11.450416666666667,0.89125,71.54666666666667,0.23416666666666666,6.18625,,30.403333333333332,25.625,2.67125,251.47916666666666,155.875,30.968333333333334,0.0
2020-04-09,58.395833333333336,128.90625,10.221666666666666,6.9191666666666665,11.329583333333332,12.866666666666667,0.5491666666666667,76.55333333333333,0.22875,4.659583333333333,0.038,30.354583333333334,24.6875,1.66375,168.58333333333334,145.8125,31.602083333333336,0.0
2020-04-10,74.25,145.57291666666666,13.049999999999999,8.464166666666666,15.385416666666666,11.4,0.8363157894736842,69.125,0.24416666666666667,2.9783333333333335,0.097,30.247500000000002,22.541666666666668,1.5254166666666666,131.0625,134.59375,32.007083333333334,0.0
2020-04-11,83.66666666666667,171.91304347826087,16.86916666666667,10.45375,22.36125,12.219999999999999,1.1620833333333334,58.51791666666667,0.31583333333333335,2.8716666666666666,0.1125,30.544166666666666,22.354166666666668,1.505,140.64583333333334,128.98958333333334,32.325833333333335,0.0
2020-04-12,58.09375,145.44791666666666,13.707083333333335,8.755416666666667,19.09625,10.832500000000001,0.8612500000000001,75.14416666666666,0.25833333333333336,2.7779166666666666,0.09400000000000001,30.473333333333333,20.125,1.6229166666666668,130.39583333333334,141.80208333333334,32.76375,0.0
2020-04-13,61.135416666666664,140.375,14.289583333333333,9.134583333333333,18.9725,11.474583333333333,1.05125,63.0025,0.27625,3.1391666666666667,0.08571428571428572,30.5425,20.770833333333332,1.4883333333333333,140.47916666666666,138.15625,32.81375,0.0
2020-04-14,103.5625,187.14772727272728,17.075833333333332,10.553333333333333,19.639166666666668,13.973333333333334,1.1304166666666666,61.865,0.28791666666666665,2.9187499999999997,0.08,30.682916666666667,19.59375,1.505,146.63541666666666,135.16666666666666,33.072916666666664,0.0
2020-04-15,90.0795652173913,105.56090909090909,14.127916666666666,8.769583333333333,20.63083333333333,13.655000000000001,0.99375,78.52291666666666,0.29,3.612083333333333,0.08083333333333334,30.83583333333333,20.135416666666668,1.7612500000000002,202.1875,132.21875,33.08208333333334,0.0
2020-04-16,61.260416666666664,104.19791666666667,10.807083333333333,6.990416666666666,12.847083333333332,11.079166666666666,0.7808333333333333,84.74249999999999,0.23375,4.913333333333333,0.04,30.86375,22.791666666666668,3.0054166666666666,248.35416666666666,149.58333333333334,32.47833333333333,0.0
2020-04-17,50.90217391304348,88.84375,10.517083333333334,6.528333333333333,12.485833333333334,10.843333333333334,0.6245833333333334,73.79333333333334,0.25833333333333336,5.918333333333333,,30.72875,25.895833333333332,2.0720833333333335,258.25,141.27083333333334,32.53916666666667,0.0
2020-04-18,65.0,118.66666666666667,13.369583333333333,8.084999999999999,13.418750000000001,13.1625,0.8579166666666667,63.842083333333335,0.26666666666666666,5.477916666666666,0.054000000000000006,30.53125,26.864583333333332,1.79125,226.4375,118.89583333333333,32.33208333333334,0.0
2020-04-19,42.76190476190476,104.5,9.00625,5.62375,7.96875,9.24625,0.6725,71.19541666666667,0.26125,6.394583333333333,,30.480833333333333,23.572916666666668,2.245416666666667,256.9583333333333,133.625,31.93166666666667,0.0
2020-04-20,78.375,133.64583333333334,14.09375,8.430833333333334,11.029166666666667,12.889583333333334,0.8604166666666666,52.44833333333333,0.26166666666666666,5.380416666666666,0.03,30.496666666666666,26.65625,3.8625000000000003,243.32291666666666,138.69791666666666,31.43958333333333,0.0
2020-04-21,73.375,132.20454545454547,12.043750000000001,7.296666666666667,14.110416666666666,10.0275,0.9670833333333334,80.30833333333334,0.24791666666666667,2.9774999999999996,0.049999999999999996,30.454583333333332,29.777916666666666,1.5116666666666667,130.98625,134.45833333333334,31.563333333333333,0.0
2020-04-22,89.58333333333333,138.04166666666666,12.858333333333334,7.723333333333334,17.29125,9.942083333333334,1.1479166666666667,70.10833333333333,0.29583333333333334,3.98375,0.0775,30.52541666666667,25.875,1.5833333333333333,180.9375,137.19791666666666,32.129583333333336,0.0
2020-04-23,84.375,129.20833333333334,12.805416666666666,7.7075,16.283333333333335,10.385416666666666,0.87875,51.114583333333336,0.27125,4.769166666666666,0.09000000000000001,30.693749999999998,25.260416666666668,3.86125,235.3125,151.44791666666666,32.23083333333333,0.0
2020-04-24,43.791666666666664,103.16666666666667,7.560833333333334,4.9679166666666665,10.076666666666666,7.639166666666667,0.6275000000000001,64.01583333333333,0.21958333333333332,5.613333333333333,,30.747500000000002,27.833333333333332,4.1625000000000005,253.77083333333334,151.77083333333334,33.125416666666666,0.0
2020-04-25,36.697916666666664,133.90625,6.357083333333333,4.435416666666667,7.517083333333333,7.604583333333333,0.5437500000000001,72.88583333333334,0.1925,5.1570833333333335,,30.682916666666667,28.677083333333332,5.242500000000001,259.0416666666667,156.94791666666666,33.54625,0.0
2020-04-26,36.5,120.5,5.862916666666667,4.127916666666667,9.88875,5.909166666666667,0.6254166666666666,78.89291666666666,0.23416666666666666,5.570833333333333,,30.684583333333332,34.802083333333336,2.5229166666666667,211.82291666666666,135.10416666666666,33.818333333333335,0.0
2020-04-27,28.177083333333332,72.5625,5.417083333333333,3.918333333333333,10.45125,4.86125,0.56375,88.08791666666667,0.1075,2.1458333333333335,,30.57166666666667,35.479166666666664,2.65875,113.51041666666667,136.26041666666666,33.48166666666666,0.0
2020-04-28,29.34375,58.427083333333336,7.347916666666666,5.0095833333333335,9.045,5.670833333333333,0.5962500000000001,93.1725,0.18125,2.5595833333333333,0.064,30.624166666666667,24.479166666666668,1.8066666666666666,127.61458333333333,148.83333333333334,29.613333333333333,0.0
2020-04-29,55.388749999999995,93.33,9.880416666666667,6.3445833333333335,14.027916666666668,7.535833333333334,0.9043478260869565,75.27666666666667,0.27291666666666664,3.3229166666666665,0.08230769230769232,30.715833333333332,22.21875,1.5458333333333334,155.22583333333333,140.04166666666666,31.669583333333332,0.0
2020-04-30,58.4375,111.22916666666667,10.948749999999999,7.00375,17.78375,8.09375,1.14375,86.29782608695652,0.32125,3.3354166666666667,0.09999999999999999,30.816666666666666,22.246666666666666,1.3812499999999999,153.14583333333334,135.11458333333334,34.91583333333333,0.0
2020-05-01,43.572916666666664,89.86458333333333,8.515,5.514583333333333,12.911666666666667,6.471666666666667,0.5812499999999999,89.38041666666668,0.19875,3.6020833333333333,0.044,31.90375,19.239583333333332,2.24625,202.70833333333334,141.46875,35.35041666666667,0.0
2020-05-02,20.822916666666668,64.9375,4.401666666666666,3.3387499999999997,8.900416666666667,5.077826086956522,0.5020833333333333,94.89083333333333,0.18833333333333335,5.384166666666666,,29.885,22.28125,3.6612500000000003,262.1666666666667,161.36458333333334,34.505833333333335,0.0
2020-05-03,26.833333333333332,96.39583333333333,4.307083333333334,3.29125,9.805833333333334,7.392083333333333,0.375,79.25208333333333,0.23583333333333334,6.026666666666666,,31.129583333333333,28.354166666666668,3.5708333333333333,247.0625,157.375,34.58625,0.0
2020-05-04,24.572916666666668,103.00708333333334,4.8,3.6958333333333333,9.193333333333333,7.046250000000001,0.5095833333333334,73.31416666666667,0.18041666666666667,5.36375,,31.262916666666666,31.052083333333332,3.5545833333333334,226.97916666666666,144.39583333333334,34.5175,0.0
2020-05-05,17.979166666666668,57.708333333333336,6.54375,4.501666666666667,7.114999999999999,4.885416666666667,0.5287499999999999,74.55916666666667,0.11833333333333335,3.1316666666666664,,30.877499999999998,31.979166666666668,2.3283333333333336,159.82291666666666,154.66666666666666,33.99666666666666,0.0
2020-05-06,29.36125,96.3575,8.30625,5.509166666666666,9.662916666666666,6.929166666666667,0.6291666666666667,68.72791666666667,0.15833333333333335,2.8470833333333334,0.03,30.870416666666667,28.447916666666668,2.53,148.67708333333334,129.70833333333334,33.7825,0.0
2020-05-07,22.0625,74.27083333333333,6.4925,4.524166666666667,7.165833333333333,5.2058333333333335,0.4295833333333334,80.73833333333333,0.11916666666666668,3.0720833333333335,,30.985833333333332,27.322916666666668,3.421666666666667,210.89583333333334,151.60416666666666,34.169583333333335,0.0
2020-05-08,23.708333333333332,79.52083333333333,6.108750000000001,4.39125,8.317083333333334,6.1325,0.425,89.69416666666666,0.16416666666666668,4.795833333333333,0.05,31.0475,20.322916666666668,3.1904166666666662,232.92708333333334,158.48958333333334,35.00208333333333,0.0
2020-05-09,23.787727272727274,73.47086956521738,5.664090909090909,4.120454545454546,9.664090909090909,5.73375,0.39291666666666664,83.09208333333333,0.18000000000000002,5.175833333333333,0.08,31.386666666666667,21.75,3.1795833333333334,225.95833333333334,155.3125,35.39083333333333,0.0
2020-05-10,29.739583333333332,78.30208333333333,5.767499999999999,4.183333333333334,10.63,4.927083333333333,0.6566666666666666,95.46625,0.15916666666666668,4.40375,0.03,31.15625,24.770833333333332,3.48625,211.46875,148.96875,35.0525,0.0
2020-05-11,15.152916666666668,43.291666666666664,7.0660869565217395,4.684782608695652,10.234782608695653,3.8969565217391304,0.4533333333333333,79.2675,0.08125,2.7308333333333334,,28.915652173913042,33.145833333333336,5.29875,203.82291666666666,159.92708333333334,33.98625,0.0
2020-05-12,22.854166666666668,56.625,8.431666666666667,5.583333333333333,11.874583333333334,5.057083333333334,0.6391666666666667,66.35375,0.13,3.202916666666667,,26.794166666666666,29.666666666666668,2.151666666666667,194.46875,147.5625,34.55833333333333,0.0
2020-05-13,26.871666666666666,64.54875,8.897916666666667,5.8,11.845416666666667,5.778333333333333,0.80625,82.79666666666667,0.155,2.8074999999999997,0.05,26.81375,34.875,2.1020833333333333,179.01041666666666,123.72916666666667,34.07083333333333,0.0
2020-05-14,22.784583333333334,56.399166666666666,10.615416666666667,6.865416666666667,15.164166666666667,7.724583333333334,0.7087499999999999,65.0325,0.14625000000000002,3.6533333333333338,0.03666666666666667,24.67833333333333,31.447916666666668,2.3995833333333336,232.20833333333334,152.05208333333334,34.697916666666664,0.0
2020-05-15,22.5625,75.13541666666667,8.428749999999999,5.54375,7.267083333333333,8.52,0.42416666666666664,79.925,0.14625000000000002,3.309583333333333,0.03,24.60625,20.916666666666668,2.1995833333333334,210.33333333333334,150.39583333333334,35.43208333333333,0.0
2020-05-16,22.10083333333333,69.27083333333333,6.954583333333333,4.851249999999999,7.146249999999999,8.08,0.43041666666666667,81.67208333333333,0.10791666666666667,3.0716666666666668,,25.523750000000003,22.75,2.067083333333333,211.19791666666666,131.04166666666666,35.46083333333333,0.0
2020-05-17,19.572916666666668,69.04166666666667,6.765416666666667,4.65875,4.33875,6.9325,0.4691666666666667,67.395,0.11541666666666667,3.94375,,22.31458333333333,18.520833333333332,2.6149999999999998,238.09375,124.60416666666667,35.26708333333333,0.0
