From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm)
2016-06-08,26.337500000000002,72.09333333333333,29.344583333333333,47.53791666666667,76.88416666666667,27.96291666666667,2.2558333333333334,15.862916666666665,0.04750000000000001,0.7999999999999999,,29.67,57.21375,1.54875,17.377916666666668,171.8075,942.4445833333333,,0.2833333333333333,
2016-06-09,20.595833333333335,65.00666666666667,28.829166666666666,46.99583333333334,75.82583333333334,27.644583333333333,2.2445833333333334,15.58375,0.03375,0.5679166666666667,,30.38208333333333,55.2925,1.7829166666666667,17.451249999999998,311.065,942.3266666666667,,0.20458333333333334,
2016-06-10,26.579130434782606,67.51833333333333,28.49083333333333,47.51083333333333,76.00041666666667,27.945833333333336,2.225,15.400416666666667,0.0425,0.7087500000000001,,28.3875,59.404583333333335,1.4491666666666667,17.170416666666668,127.81285714285714,943.3475,,0.2770833333333333,
2016-06-11,18.427083333333332,52.02458333333333,31.86125,47.321666666666665,79.18208333333332,27.837500000000002,2.202916666666667,17.22125,0.035416666666666666,0.5816666666666667,,27.714583333333334,60.92666666666667,1.7191666666666665,17.210416666666667,174.36,944.0612500000001,,0.21083333333333334,
2016-06-12,19.492608695652173,52.13708333333333,32.704166666666666,47.00416666666666,79.70791666666666,27.64916666666667,2.1625,17.6775,0.0275,0.40375,,28.957083333333333,58.83583333333333,1.8770833333333332,17.29,289.008,943.84875,,0.13875,
2016-06-13,21.120416666666667,59.21125,35.29208333333333,46.46375,81.75583333333334,27.33125,2.1304166666666666,19.075416666666666,0.029583333333333333,0.48208333333333336,,29.407083333333333,56.85541666666666,1.9816666666666667,17.355,303.29200000000003,944.2191666666666,,0.16,
2016-06-14,24.367499999999996,69.03166666666667,28.108333333333334,46.38583333333333,74.49458333333332,27.28625,2.1058333333333334,15.193333333333333,0.03166666666666667,0.5366666666666667,,29.536666666666665,55.41583333333333,1.9637499999999999,17.37125,334.7371428571428,943.6579166666667,,0.19125,
2016-06-15,27.512916666666666,77.55,29.420416666666668,47.44291666666667,76.86333333333333,27.90833333333333,2.15875,15.90375,0.035833333333333335,0.64625,,29.24083333333333,54.05875,1.9454166666666666,17.234166666666667,322.7421428571429,942.32875,,0.22708333333333333,
2016-06-16,39.06041666666667,105.32666666666667,33.17,49.0375,82.20625,28.845,2.122916666666667,17.929583333333333,0.034166666666666665,0.6179166666666667,,29.440416666666668,53.805,1.74,17.30333333333333,280.46866666666665,941.7108333333334,,0.21416666666666664,
2016-06-17,30.465833333333336,93.97125,27.123333333333335,48.094166666666666,75.21541666666667,28.29041666666667,2.1350000000000002,14.659583333333332,0.02791666666666667,0.44625000000000004,,29.135833333333334,54.18375,1.8925,17.271666666666665,267.975625,941.8754166666666,,0.15583333333333335,
