From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),Xylene (ug/m3)
2017-05-20,45.46666666666667,379.26,12.201666666666666,15.132916666666667,,28.002499999999998,3.0919999999999996,0.8683333333333333,14.589999999999998,5.58625,,32.276666666666664,36.01625,1.4679166666666665,168.31791666666666,286.58875,
2017-05-21,42.25,,14.135,15.024583333333332,,28.206666666666667,13.98304347826087,0.835,,6.272916666666667,,25.922916666666666,61.731249999999996,1.3579166666666669,227.78666666666666,103.65750000000001,
2017-05-22,36.816250000000004,,13.318333333333333,15.24375,,28.16541666666667,7.084583333333334,1.19,,5.87625,,28.677916666666665,53.76499999999999,1.0370833333333334,193.26708333333332,310.7545833333333,
2017-05-23,30.74291666666667,,12.34625,15.364583333333334,,28.097916666666666,10.808749999999998,1.3679166666666667,,6.012083333333333,,31.203333333333333,44.60952380952381,1.0252380952380953,156.3295238095238,333.10333333333335,
2017-05-24,203.78428571428572,,11.828333333333333,15.191249999999998,,28.021666666666665,6.537727272727273,1.2454166666666666,,6.325833333333333,,,,,,,
2017-05-25,37.288333333333334,,11.415416666666667,15.321666666666667,,28.068749999999998,12.20590909090909,1.4466666666666665,,6.358750000000001,,38.08727272727273,26.28818181818182,0.9009090909090909,210.8790909090909,222.65272727272725,
2017-05-26,24.659166666666668,,11.690833333333332,15.011249999999999,,28.003333333333334,9.239166666666668,1.2704166666666667,,6.159166666666667,,36.06458333333333,29.49416666666667,1.6291666666666667,168.21458333333334,296.79083333333335,
2017-05-27,20.8675,,11.554583333333333,14.964583333333332,,27.940833333333334,10.47375,0.9679166666666666,,5.535833333333334,,34.21,33.764583333333334,1.6875,123.18374999999999,289.70125,
2017-05-28,17.183333333333334,,11.659999999999998,14.623333333333333,,27.83875,5.540416666666666,0.9804166666666667,,5.404166666666666,,32.955,45.88999999999999,2.152083333333333,132.22416666666666,306.76916666666665,
2017-05-29,20.202083333333334,,11.937083333333334,14.723333333333334,,27.856666666666666,3.1666666666666665,0.685,,5.3741666666666665,,30.954583333333332,43.89625,2.1795833333333334,122.88333333333333,313.35875,
2017-05-30,26.530833333333334,70.03461538461539,10.845416666666667,14.025416666666667,,27.69666666666667,4.354583333333333,0.8995833333333333,26.49923076923077,5.147916666666666,,32.22416666666667,43.223749999999995,1.4433333333333334,154.15041666666667,311.35041666666666,
2017-05-31,29.150625,61.744375,11.71375,14.083125,,27.6875,3.174375,0.58375,12.098749999999999,5.179375,,26.28076923076923,55.08769230769231,2.310769230769231,125.40307692307692,212.36384615384617,
2017-06-01,35.03666666666666,68.66533333333334,15.121333333333332,15.066,,28.282666666666668,6.14,0.8793333333333333,4.843999999999999,5.240666666666667,,,,,,,
2017-06-02,48.24363636363636,102.36545454545454,11.561818181818182,15.259090909090908,,27.922727272727272,13.281818181818181,1.5718181818181818,19.501818181818184,5.299090909090909,,36.98222222222223,24.375555555555554,1.0733333333333333,279.5233333333333,188.67777777777778,
2017-06-03,59.464000000000006,109.81,14.42375,14.453333333333333,,27.93541666666667,14.693333333333333,1.1945833333333333,22.43958333333333,5.309166666666667,,36.937083333333334,27.931250000000002,1.2741666666666667,280.86041666666665,294.18916666666667,
2017-06-04,47.77761904761905,122.02857142857142,21.493809523809524,14.180952380952382,,27.84190476190476,9.29047619047619,1.4176190476190476,21.027619047619048,4.7540000000000004,2.9333333333333336,37.76190476190476,26.983809523809523,1.1909523809523808,207.81809523809525,287.43380952380954,1.115
2017-06-05,37.878,141.2913333333333,21.95230769230769,38.23785714285714,,43.93214285714286,12.838571428571429,0.7746666666666667,11.627142857142857,,,35.982142857142854,33.405,1.3857142857142857,201.875,302.6657142857143,
2017-06-06,89.13176470588235,240.58176470588234,21.38125,13.55125,,27.645,7.119375,0.5982352941176471,11.432941176470589,,,36.21,39.93117647058824,1.8229411764705883,169.4505882352941,344.06235294117647,
2017-06-07,37.35208333333333,65.11208333333333,47.354166666666664,31.347083333333334,,41.18958333333334,6.901666666666666,0.6579166666666666,11.092916666666667,,,27.991666666666664,70.28791666666667,2.0004166666666667,140.83583333333334,314.0883333333333,
2017-06-08,38.48375,81.01083333333334,22.463333333333335,13.684583333333334,,27.663749999999997,2.652608695652174,0.7745833333333333,12.690833333333332,,,30.237916666666667,62.590833333333336,1.5587499999999999,159.38791666666665,280.2895833333333,
2017-06-09,39.339999999999996,76.37333333333333,21.712083333333336,13.582916666666668,,27.703333333333333,6.02875,0.7475,10.371666666666666,,,30.42833333333333,46.54458333333333,1.13625,190.92125,329.7082608695652,
2017-06-10,44.22291666666666,89.92541666666666,21.795416666666668,13.572083333333333,,27.700416666666666,2.6220833333333333,0.8574999999999999,10.764583333333334,,,31.037916666666664,46.98833333333334,1.7916666666666667,192.19958333333332,330.31954545454545,
2017-06-11,34.004583333333336,53.90083333333333,21.9875,13.795,,27.740416666666665,6.249583333333334,0.9325,5.309166666666667,,,30.793333333333333,40.022083333333335,1.1979166666666667,202.19416666666666,319.7141666666667,
2017-06-12,41.77538461538462,73.61692307692307,22.37,13.85153846153846,,27.818461538461538,6.636923076923077,1.2569230769230768,5.457692307692308,,,31.1,42.86846153846154,1.3038461538461539,286.5769230769231,336.1007692307692,
2017-06-13,48.33416666666667,85.66666666666667,20.162499999999998,13.46,,27.492500000000003,6.7124999999999995,0.7400000000000001,20.858333333333334,,,36.60666666666666,24.88,1.3408333333333333,164.18,327.68333333333334,
2017-06-14,37.52125,79.91291666666667,21.026666666666667,13.462083333333332,,27.605,8.571250000000001,0.945,19.05375,,,35.229166666666664,28.624166666666667,1.3,178.99249999999998,294.00791666666663,
