From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2020-07-09,18.38,43.70041666666666,3.004583333333333,11.231250000000001,8.293750000000001,29.855,9.639583333333333,0.30416666666666664,23.8075,3.391666666666667,0.3429166666666667,2.103333333333333,0.4741666666666667,87.51083333333334,0.5850000000000001,131.02666666666667,234.2558333333333,,,0.8858333333333334,29.174999999999997,0.010416666666666666
2020-07-10,23.534583333333334,54.956250000000004,2.9545833333333333,8.415833333333333,6.801666666666667,31.956666666666667,7.302499999999999,0.29833333333333334,26.94458333333333,2.7829166666666665,0.28791666666666665,2.200833333333333,0.48666666666666664,85.19625,1.215,215.84833333333333,262.5425,,,0.9216666666666667,29.4175,0.025833333333333333
2020-07-11,20.654999999999998,49.607499999999995,2.90625,10.27875,7.654166666666666,31.737083333333334,10.117916666666668,0.2966666666666667,27.674583333333334,3.5208333333333335,0.3116666666666667,2.4858333333333333,0.5120833333333333,86.74583333333334,0.7208333333333333,189.2225,252.21708333333333,,,1.0625,27.806250000000002,0.04125
2020-07-12,11.154166666666667,33.3775,2.008095238095238,8.319047619047618,5.292083333333333,27.104090909090907,12.251428571428571,0.30083333333333334,22.60375,3.0695833333333336,0.31875000000000003,3.25125,0.63125,88.08083333333333,1.07875,215.19958333333332,211.4517391304348,,,1.3491666666666668,25.645833333333332,0.19791666666666666
2020-07-13,14.350416666666668,41.95041666666666,2.424583333333333,7.74875,5.995833333333334,31.791666666666668,12.209166666666667,0.2941666666666667,23.467083333333335,2.4545833333333333,0.27791666666666665,2.795,0.5454166666666667,85.43541666666665,0.9316666666666666,276.56416666666667,303.70208333333335,,,1.1666666666666667,27.994583333333335,0.005
2020-07-14,20.290833333333335,52.44541666666667,2.8662500000000004,11.474166666666667,8.292916666666667,44.85166666666667,9.867916666666668,0.2970833333333333,24.156666666666666,3.1333333333333333,0.3358333333333334,1.9995833333333335,0.44999999999999996,82.72916666666667,0.5895833333333333,203.22333333333333,285.7545833333333,,,0.8395833333333332,30.115,0.0
2020-07-15,20.645,55.25125,3.014583333333333,12.877916666666666,9.133750000000001,48.51499999999999,6.692083333333334,0.30125,30.568749999999998,4.183333333333334,0.35000000000000003,1.7541666666666667,0.4070833333333333,86.88291666666667,0.78875,157.42875,182.49666666666667,,,0.765,28.727083333333336,0.0675
2020-07-16,21.507826086956523,47.36739130434783,4.336666666666667,12.13,9.92842105263158,44.78526315789473,6.307916666666666,0.30375,19.689583333333335,3.1925000000000003,0.2383333333333333,1.5379166666666666,0.3441666666666667,77.93249999999999,0.8533333333333334,153.44125,262.9770833333333,,,0.6195833333333334,30.095,0.0
2020-07-17,14.642083333333334,35.37625,2.5316666666666667,10.147083333333333,7.333333333333333,36.22875,16.082727272727272,0.29333333333333333,18.212500000000002,2.8223809523809527,0.20285714285714285,1.2723809523809524,0.2980952380952381,82.36125,0.8845833333333334,134.29125,260.205,,,0.5385714285714286,30.116249999999997,0.0
2020-07-18,23.298636363636366,40.34090909090909,3.1041666666666665,10.019166666666667,7.773333333333333,33.18083333333333,6.180416666666667,0.27166666666666667,19.40125,3.3508333333333336,0.21041666666666667,1.1920833333333334,0.28208333333333335,87.89708333333334,0.6683333333333333,147.91583333333332,180.41791666666666,,,0.4970833333333333,29.940416666666668,0.005
2020-07-19,22.910833333333333,47.68666666666667,2.68125,6.679583333333333,5.65625,35.79416666666666,11.950000000000001,0.25333333333333335,29.081249999999997,2.81,0.19833333333333333,1.9854166666666666,0.40125000000000005,89.01791666666666,0.8820833333333332,199.33833333333334,223.745,,,0.7533333333333333,29.375416666666666,0.0
