From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2020-06-12,12.614583333333334,25.791666666666668,4.01,7.3808333333333325,7.190416666666667,4.085416666666666,4.56375,0.21458333333333332,29.782083333333333,0.12958333333333333,0.5404166666666667,29.205416666666665,73.14583333333333,1.2858333333333334,171.09375,4.145833333333333,,0.10458333333333332,0.09125,0.025833333333333333,21.63625
2020-06-13,13.479166666666666,30.28125,3.3608333333333333,7.869583333333334,6.916250000000001,3.8579166666666667,6.917916666666667,0.30875,34.49,0.11,0.49875,29.405833333333334,63.729166666666664,1.2925,107.89583333333333,81.46875,,0.07875,0.07958333333333334,0.0,23.685833333333335
2020-06-14,12.28125,28.927083333333332,3.0483333333333333,6.592083333333334,5.9870833333333335,4.166666666666667,5.4175,0.325,39.52217391304348,0.11750000000000001,0.5533333333333333,29.5575,63.5,1.2979166666666666,120.57291666666667,87.53125,,0.09458333333333334,0.08333333333333333,0.0,24.551666666666666
2020-06-15,13.96875,31.416666666666668,3.23375,7.027083333333334,6.348333333333334,4.03875,6.099166666666666,0.32666666666666666,35.3275,0.12166666666666666,0.49500000000000005,29.4575,62.802083333333336,1.2575,105.10416666666667,59.447916666666664,,0.0825,0.08,0.0,24.474999999999998
2020-06-16,15.96875,40.989583333333336,3.447391304347826,7.425,6.603333333333333,4.0075,4.725,0.36541666666666667,29.810416666666665,0.21208333333333332,0.8679166666666666,29.044166666666666,62.666666666666664,1.1525,107.625,44.15625,,0.075,0.09666666666666666,0.0,24.589583333333334
2020-06-17,16.614583333333332,49.458333333333336,3.1391666666666667,6.28375,5.870833333333334,4.45125,5.545833333333333,0.3445833333333333,29.754166666666666,0.15708333333333332,0.5920833333333334,29.814166666666665,63.9375,1.2883333333333333,104.90625,29.84375,,0.08791666666666666,0.08083333333333333,0.0,24.056250000000002
2020-06-18,17.822916666666668,49.104166666666664,3.2991666666666664,7.301666666666667,6.565,4.6033333333333335,4.577916666666667,0.3558333333333334,29.278333333333332,0.17208333333333334,0.6941666666666667,29.944166666666664,64.4375,1.1370833333333332,114.89583333333333,31.020833333333332,,0.065,0.08750000000000001,0.0,23.844583333333333
2020-06-19,18.416666666666668,54.9375,3.8520833333333333,8.486666666666666,7.629583333333334,4.2508333333333335,4.62,0.465,24.002499999999998,0.1525,0.8137500000000001,30.49291666666667,61.697916666666664,1.1045833333333335,182.55208333333334,73.32291666666667,,0.06583333333333334,0.09125,0.0,24.649583333333336
2020-06-20,14.2675,49.43416666666667,3.8433333333333333,6.927499999999999,6.810416666666666,4.087916666666667,5.340833333333333,0.4683333333333333,23.317916666666665,0.16541666666666668,0.935,29.582083333333333,65.26375,1.0241666666666667,236.21875,11.788333333333334,,0.07916666666666666,0.10291666666666667,0.025833333333333333,23.96291666666667
2020-06-21,10.534583333333334,37.916666666666664,2.873333333333333,4.367083333333333,4.62375,4.23375,4.832083333333333,0.33916666666666667,21.296666666666667,0.05416666666666667,0.49833333333333335,28.759583333333335,66.08333333333333,0.9075000000000001,226.58333333333334,31.21875,,0.059166666666666666,0.06708333333333334,0.01,23.794583333333335
2020-06-22,8.25,37.364583333333336,4.4725,9.125833333333334,8.4725,4.285833333333334,4.275833333333334,0.50875,24.86708333333333,0.18458333333333332,0.8916666666666666,29.596666666666668,65.5,1.0233333333333332,198.11458333333334,62.572916666666664,,0.065,0.09875,0.0,24.000833333333333
