From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-04-20,10.534583333333332,32.21541666666666,1.3079166666666666,4.5945833333333335,3.50375,6.96125,12.402500000000002,0.41933333333333334,18.603333333333335,0.39083333333333337,4.329583333333333,,,,29.22375,79.30208333333333,2.07,220.07291666666666,100.875,754.28125,,31.537916666666664,0.0
2022-04-21,10.255625,30.015625,1.783125,4.403125,3.79,9.345625,11.515,0.39187500000000003,16.03,0.479375,4.17125,,,,29.105,77.3125,2.1925,200.984375,135.8125,753.9375,,31.429375,0.0
2022-04-22,6.188125,24.749375,1.5006249999999999,2.964375,2.79,7.6325,11.032,0.285625,14.8325,0.46625,4.49125,,,,29.056875,69.166875,2.540625,183.6875,149.260625,755.323125,,32.209375,0.0
2022-04-23,10.040000000000001,30.955,2.3699999999999997,5.12125,4.647916666666666,7.127916666666667,11.700416666666667,0.38666666666666666,16.122083333333332,0.43875,6.4075,,,,29.01,74.54166666666667,2.18,188.64583333333334,100.69791666666667,755.65625,,31.607499999999998,0.0
2022-04-24,5.525,17.84375,1.3554166666666667,3.67,3.0529166666666665,6.459583333333334,11.274347826086956,0.3438095238095238,21.852083333333336,0.3116666666666667,3.627083333333333,,,,28.96666666666667,74.10416666666667,1.9254166666666668,215.38541666666666,103.52083333333333,754.1875,,31.71166666666667,0.0
2022-04-25,9.588235294117647,23.96875,1.6083333333333334,4.4575000000000005,3.6795833333333334,5.922083333333333,12.984166666666667,0.3704347826086956,14.019583333333335,0.47750000000000004,3.865,,,,28.998333333333335,76.625,2.2891666666666666,217.20833333333334,107.94791666666667,753.6354166666666,,31.421666666666667,0.0
2022-04-26,7.1375,25.5625,1.52625,4.3325000000000005,3.546666666666667,6.2058333333333335,12.248333333333333,0.4220833333333333,13.964166666666666,0.38125000000000003,3.5712499999999996,,,,28.994583333333335,78.05208333333333,2.1791666666666667,225.09375,106.97916666666667,753.9479166666666,,31.41916666666667,0.0
2022-04-27,8.703125,23.416666666666668,2.4575,4.8308333333333335,4.565416666666667,6.96875,12.86,0.47333333333333333,9.37217391304348,0.6791666666666667,3.5999999999999996,,,,29.140833333333333,78.38541666666667,2.2325,197.02083333333334,112.375,753.59375,,31.405,0.0
2022-04-28,8.5,26.03125,2.341666666666667,4.64875,4.37375,7.375,14.642083333333332,0.425,10.248260869565218,0.47333333333333333,5.064166666666666,,,,29.11,78.16666666666667,2.3058333333333336,228.39583333333334,111.64583333333333,754.4270833333334,,31.431250000000002,0.0
2022-04-29,11.364583333333334,32.25,1.4658333333333333,4.4625,3.5666666666666664,6.7175,16.40625,0.3720833333333333,17.75916666666667,0.35833333333333334,6.581666666666667,,,,29.147499999999997,79.39583333333333,2.268333333333333,221.84375,105.82291666666667,753.84375,,31.899583333333336,0.0
